Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.oauth2.authorize.implicit.access_token","OIDC authorization implicit access token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.authorize.implicit.id_token","OIDC authorization implicit ID token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.client.lifecycle.activate","Activate OAuth client.","2017.24","oauth2","oauth2-client","oauth2-client-lifecycle"
"app.oauth2.client.lifecycle.create","Create OAuth client.","2017.24","oauth2","oauth2-client","oauth2-client-lifecycle"
"app.oauth2.client.lifecycle.deactivate","Deactivate OAuth client.","2017.24","oauth2","oauth2-client","oauth2-client-lifecycle"
"app.oauth2.client.lifecycle.delete","Delete OAuth client.","2017.24","oauth2","oauth2-client","oauth2-client-lifecycle"
"app.oauth2.client.lifecycle.update","Update OAuth client.","2017.24","oauth2","oauth2-client","oauth2-client-lifecycle"
"app.oauth2.client.privilege.grant","An OAuth 2.0 client app's admin privileges changed. This can be used to audit the provisioning of admin privileges for OAuth 2.0 client apps. When fired, this event contains information about the type of admin privileges the OAuth 2.0 client app currently has.  Related events include: APP_OAUTH2_CLIENT_PRIVILEGE_REVOKE.","2023.04.1","event-hook-eligible","oauth2","oauth2-client"
"app.oauth2.client.privilege.revoke","All privileges for OAuth 2.0 client app were revoked. This can be used to audit the deprovisioning of admin privileges from OAuth 2.0 client apps. When fired, this event indicates the OAuth 2.0 client app has no more admin privileges. All of OAuth 2.0 client app's privileges were revoked.  Related events include: APP_OAUTH2_CLIENT_PRIVILEGE_GRANT.","2023.04.1","event-hook-eligible","oauth2","oauth2-client"
"app.oauth2.client_id_rate_limit_warning","Fired when requests from a single client id has consumed majority of an org's rate limit on the OAuth2 endpoint. This event can be used by admins to discover and deactivate a rogue client. The admin is able to manage the client via the Syslog UI. When fired, this event contains information about the responsible client id. As of release, this event is fired when a single client id consumes 90% of an org's OAuth2 rate limit; this threshold is subject to change.","2019.04.2","oauth2","oauth2-client"
"app.oauth2.consent.grant","User granted consent to app. This event can be used to identify the org AS consent grant. When fired, the event contains information about the successful consent grant by org AS.","2021.10.2","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.credentials.lifecycle.activate","OAuth client credentials (either client secret or JWK) is added for an application. Use this event to find out if an application has a new client secret or private/public key that has been added. This could be used to audit changes made to client credentials.","2022.05.3","oauth2","oauth2-client","oauth2-client-credentials-lifecycle"
"app.oauth2.credentials.lifecycle.create","OAuth client credentials (either client secret or JWK) is activated for an application. Use this event to find out if an application has activated a new client secret or private/public key. This could be used to audit changes made to client credentials.","2022.05.3","oauth2","oauth2-client","oauth2-client-credentials-lifecycle"
"app.oauth2.credentials.lifecycle.deactivate","OAuth client credentials (either client secret or JWK) is deactivated for an application. Use this event to find out if an application has an existing client secret or private/public key that has been deactivated. This could be used to audit changes made to client credentials.","2022.05.3","oauth2","oauth2-client","oauth2-client-credentials-lifecycle"
"app.oauth2.credentials.lifecycle.delete","OAuth client credentials (either client secret or JWK) is deleted for an application. Use this event to find out if an application has an existing client secret or private/public key that has been deleted. This could be used to audit changes made to client credentials.","2022.05.3","oauth2","oauth2-client","oauth2-client-credentials-lifecycle"
"app.oauth2.interact.interaction_code","Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation, and troubleshoot why the IdX transaction has failed. When fired, this event contains hashed values of the interaction_code and interaction_handle, as well as information about the client to which they were issued.","2021.01.0","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.interact.interaction_handle","Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.","2021.01.0","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.invalid_client_credentials","Multiple requests with invalid client credentials for client id.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.key.rollover","Org Authorization Server token signing key rolled over.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.signon","User performed OIDC single sign on to app.","2016.14","oauth2","oauth2-client"
"app.oauth2.token.detect_reuse","Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user, client to which the refresh token was minted, and the hash of the refresh tokens.","2020.09.3","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.grant","OIDC token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.grant.access_token","OIDC access token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.grant.id_token","OIDC id token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.grant.refresh_token","OIDC refresh token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.revoke","OIDC token revocation request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.revoke.implicit.as","Tokens revoked for authorization server.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.revoke.implicit.client","Tokens revoked for client.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.token.revoke.implicit.user","Tokens revoked for user.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.trusted_server.add","Trusted authorization server is added. Administrators can use this event to debug and audit trusted authorization server operations. When fired, this event contains the authorization server IDs of the servers involved.","2023.02.0","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.trusted_server.delete","Trusted authorization server is removed. Administrators can use this event to debug and audit trusted authorization server operations. When fired, this event contains the authorization server IDs of the servers involved.","2023.02.0","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.office365.api.change.domain.federation.success","Successfully updated the domain federation from old settings to new settings.","2017.01","app","office365-app"
"app.office365.api.error.ad.user","User is assigned to more than one instance of Active Directory, could not set Immutable ID.","2017.01","app","office365-app"
"app.office365.api.error.check.user.exists","Could not determine status of Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.create.user","Could not create user in Office 365, received error.","2017.01","app","office365-app"
"app.office365.api.error.deactivate.user","Could not deactivate Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.download.custom.objects","Could not download group/role/license data for your Office 365 instance, received error.","2017.01","app","office365-app"
"app.office365.api.error.download.groups","Could not download all groups from your Office 365 instance, received error.","2017.01","app","office365-app"
"app.office365.api.error.download.users","Could not download all users from your Office 365 instance, received error.","2017.01","app","office365-app"
"app.office365.api.error.endpoint.unavailable","Unable to reach the Office 365 endpoint.","2017.01","app","office365-app"
"app.office365.api.error.get.company.dirsync.failure","Unable to read Office 365 directory sync for the company, received error.","2017.01","app","office365-app"
"app.office365.api.error.get.company.dirsync.status.failure","Unable to provision user to Office 365, because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated and retry.","2017.01","app","office365-app"
"app.office365.api.error.get.company.dirsync.status.pending","Unable to provision user to Office 365, because 'Directory Sync' value in Azure Active Directory not yet in Activated state. This may take up to 72 hours. Please visit the Azure Active Directory portal and retry when in Activated state.","2017.01","app","office365-app"
"app.office365.api.error.get.object.ids.by.group.id","Could not get users by group id from your Office 365 instance, received error.","2018.37","office365-app"
"app.office365.api.error.group.create.failure","Could not create Office 365 group, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.create.failure.name.in.use","Could not create Office 365 group because the name is already in use, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.delete.failure","Could not delete Office 365 group, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.membership.update.assignment.failure","Could not update the Office 365 group membership because of an error assigning a user to the group, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.membership.update.failure","Could not update the Office 365 group membership, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.membership.update.group.not.found.failure","Could not update the Office 365 group membership because the group could not be found, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.membership.update.removal.failure","Could not update the Office 365 group membership because of an error removing a user from the group, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.update.failure","Could not update Office 365 group, received error.","2017.01","app","office365-app"
"app.office365.api.error.group.update.failure.not.found","Could not update Office 365 group because it was not found, received error.","2017.01","app","office365-app"
"app.office365.api.error.import.profile","Could not import profile for Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.no.endpoints.found","No Office 365 endpoint found to send our request.","2017.01","app","office365-app"
"app.office365.api.error.push.password","Could not push password for Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.push.profile","Could not push profile for Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.reactivate.user","Could not reactivate Office 365 user, received error.","2017.01","app","office365-app"
"app.office365.api.error.remove.domain.federation.failure","Unable to remove the domain federation, received error.","2017.01","app","office365-app"
"app.office365.api.error.remove.domain.federation.failure.access.denied","Unable to remove the domain federation because the admin user is not authorized to perform the task.","2017.01","app","office365-app"
"app.office365.api.error.remove.domain.federation.failure.domain.not.found","Unable to remove the domain federation because the specified domain was not found.","2017.01","app","office365-app"
